,city,cloudiness,country,date,humidity,lat,lon,temp,wind_speed
206,Nemuro,100,JP,<class 'datetime.date'>,87,43.32,145.57,48.19,12.84
207,Isangel,100,VU,<class 'datetime.date'>,83,-19.55,169.27,75.55,9.24
208,Norman Wells,75,CA,<class 'datetime.date'>,61,65.28,-126.83,50.0,5.82
209,Leh,36,IN,<class 'datetime.date'>,46,34.16,77.58,31.81,8.03
210,Athabasca,94,CA,<class 'datetime.date'>,69,54.72,-113.29,59.35,5.26
211,Bataipora,36,BR,<class 'datetime.date'>,77,-22.3,-53.27,73.03,4.79
212,Rovnoye,100,RU,<class 'datetime.date'>,58,50.78,46.06,73.93,9.46
213,Wajima,100,JP,<class 'datetime.date'>,93,37.4,136.9,72.31,31.07
214,Martapura,0,ID,<class 'datetime.date'>,83,-3.41,114.85,78.43,13.11
215,Kenora,75,CA,<class 'datetime.date'>,60,49.76,-94.48,68.0,5.82
216,Brae,75,GB,<class 'datetime.date'>,87,60.4,-1.35,53.6,13.87
217,Shache,96,CN,<class 'datetime.date'>,68,38.42,77.24,84.0,7.94
218,Nemencine,75,LT,<class 'datetime.date'>,68,54.85,25.48,71.01,12.75
219,Puerto Escondido,75,MX,<class 'datetime.date'>,83,15.86,-97.07,80.6,6.93
220,Pakxan,96,LA,<class 'datetime.date'>,90,18.39,103.66,75.55,4.21
221,Mananjary,73,MG,<class 'datetime.date'>,61,-19.16,46.8,66.91,1.97
222,Najran,40,SA,<class 'datetime.date'>,11,17.54,44.22,102.2,11.41
223,Lubana,100,CD,<class 'datetime.date'>,94,0.23,29.1,69.43,0.49
224,Sibolga,100,ID,<class 'datetime.date'>,65,1.74,98.78,85.09,1.81
225,Lingao,55,CN,<class 'datetime.date'>,72,19.91,109.69,87.43,12.01
226,Palmer,0,AU,<class 'datetime.date'>,48,-34.85,139.16,64.99,19.46
227,Labuhan,2,ID,<class 'datetime.date'>,91,-2.54,115.51,74.47,1.07
228,Peniche,20,PT,<class 'datetime.date'>,56,39.36,-9.38,73.99,12.75
229,Bosaso,0,SO,<class 'datetime.date'>,59,11.28,49.18,95.0,5.82
230,Jumla,3,NP,<class 'datetime.date'>,82,29.28,82.18,54.13,2.62
231,Saint-Denis,0,FR,<class 'datetime.date'>,52,48.94,2.36,91.0,12.75
232,Omsukchan,98,RU,<class 'datetime.date'>,71,62.53,155.8,48.37,1.99
233,Tuatapere,100,NZ,<class 'datetime.date'>,91,-46.13,167.69,43.0,5.01
234,Rio Cuarto,0,AR,<class 'datetime.date'>,30,-33.13,-64.35,53.6,14.99
235,Kimbe,88,PG,<class 'datetime.date'>,93,-5.56,150.15,74.29,4.36
236,Ust-Tsilma,99,RU,<class 'datetime.date'>,39,65.44,52.15,64.57,3.96
237,Luocheng,27,CN,<class 'datetime.date'>,92,28.29,114.55,75.01,1.43
238,Broken Hill,0,AU,<class 'datetime.date'>,54,-31.97,141.45,59.0,17.22
239,Zhifang,0,CN,<class 'datetime.date'>,70,30.35,114.31,86.0,6.71
240,Mitha Tiwana,2,PK,<class 'datetime.date'>,23,32.24,72.11,96.07,3.65
241,Hobyo,4,SO,<class 'datetime.date'>,63,5.35,48.53,80.41,30.36
242,Palana,11,RU,<class 'datetime.date'>,76,59.08,159.95,49.27,2.44
243,Avarua,97,CK,<class 'datetime.date'>,73,-21.21,-159.78,71.6,3.36
244,Nizhniy Kuranakh,77,RU,<class 'datetime.date'>,67,58.84,125.49,55.03,3.74
245,Kiruna,0,SE,<class 'datetime.date'>,37,67.86,20.23,53.6,13.87
246,Plymouth,0,GB,<class 'datetime.date'>,50,50.37,-4.14,82.0,17.22
247,Ozernovskiy,100,RU,<class 'datetime.date'>,98,51.5,156.52,40.09,4.79
248,Haines Junction,0,CA,<class 'datetime.date'>,68,60.75,-137.51,54.49,2.46
249,Manuk Mangkaw,97,PH,<class 'datetime.date'>,82,4.8,119.85,83.65,13.29
250,Clyde River,75,CA,<class 'datetime.date'>,75,70.47,-68.59,42.8,16.11
251,Vestmanna,100,FO,<class 'datetime.date'>,100,62.16,-7.17,50.0,10.29
252,Cherskiy,100,RU,<class 'datetime.date'>,52,68.75,161.3,47.83,12.12
253,Buala,100,SB,<class 'datetime.date'>,82,-8.15,159.59,80.23,6.96
254,Sarangani,100,PH,<class 'datetime.date'>,73,5.4,125.46,83.65,5.12
255,Saldanha,74,PT,<class 'datetime.date'>,39,41.42,-6.55,84.55,10.04
256,Acajutla,77,SV,<class 'datetime.date'>,62,13.59,-89.83,83.83,1.7
257,Arica,90,CL,<class 'datetime.date'>,63,-18.48,-70.32,62.6,4.7
258,Byron Bay,75,AU,<class 'datetime.date'>,93,-28.65,153.62,59.0,4.7
259,Toora-Khem,74,RU,<class 'datetime.date'>,84,52.47,96.11,55.03,2.35
260,Paralimni,0,GR,<class 'datetime.date'>,39,40.99,23.67,91.99,7.0
261,Gorontalo,100,ID,<class 'datetime.date'>,92,0.54,123.06,76.09,6.17
262,Borger,90,NL,<class 'datetime.date'>,67,52.92,6.79,69.01,13.87
263,Dunmore Town,42,BS,<class 'datetime.date'>,69,25.5,-76.65,83.11,7.56
264,Touros,28,BR,<class 'datetime.date'>,80,-5.2,-35.46,81.13,21.47
265,Churapcha,0,RU,<class 'datetime.date'>,59,62.0,132.43,58.09,5.77
266,Baykit,100,RU,<class 'datetime.date'>,59,61.68,96.39,66.55,2.37
267,Bloomfield,1,US,<class 'datetime.date'>,83,40.75,-92.42,80.6,8.05
268,Ailigandi,83,PA,<class 'datetime.date'>,80,9.23,-78.02,82.75,9.26
269,Bathsheba,20,BB,<class 'datetime.date'>,58,13.22,-59.52,86.0,24.16
270,Sorong,100,ID,<class 'datetime.date'>,90,-0.86,131.25,76.45,5.37
271,Aktau,0,KZ,<class 'datetime.date'>,30,43.65,51.16,86.0,17.9
